OBJECTID,LENGTH,LINK,Midx,Midy,Cseason,Oseason,Cstartdate,Cenddate,Ostartdate,Oenddate,DFWOpen,BEACHID,BEACHCOMMENT,CLASSIFICATIONDATE,CLASSIFICATION,REASONDESCRIPTION,ORGANIZATION,BIDN,BEACHNAME,WATERBODYNAME,COUNTYNAME,GROWINGAREANAME,ALLSPECIEDESCRIPTIONS,FINALSTATUS,UPDATED,SHAPE_Length
390,1781.968,http://parks.state.wa.us/529/Kitsap-Memorial,-122.65285713,47.81674279,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,1412,The beach within 360 feet from the mouth of Lofall Creek is Closed year-round due to bacteria loading from the creek.,2014/06/24 00:00:00+00,Closed,Neither water quality nor shoreline survey information meets Washington State standards for recreational shellfish harvesting.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,270229,LOFALL,Hood Canal #1,Kitsap,Hood Canal #1,None,Closed,2023/04/12 03:01:35+00,233.244080005992
391,1781.968,http://parks.state.wa.us/529/Kitsap-Memorial,-122.65285713,47.81674279,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,1194,The WDFW harvest seasons are closed year-round at the State Park beach. The southern portion of this beach within 360 feet from the mouth of Lofall Creek is Closed due to bacteria loading from the creek.,2008/08/14 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,270230,KITSAP MEMORIAL SP,Hood Canal #1,Kitsap,Hood Canal #1,None,Open,2023/04/12 03:01:35+00,498.237427576806
392,2735.099,http://parks.state.wa.us/536/Larrabee,-122.49313914,48.65184432,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1308,The north end of the beach within Wildcat Cove is CLOSED to recreational shellfish harvesting due to the State Park wastewater treatment closure zone.  The rest of the beach is unclassified.,1999/02/04 00:00:00+00,Unclassified,A portion of this beach lies within a closure zone for a sewage treatment plant outfall.  The area inside the closure zone is classified CLOSED.  The area outside the closure zone is UNCLASSIFIED due to lack of data for the remainder of the beach.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,210210,LARRABEE SP,Bellingham Bay,Whatcom,None,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,963.121211173173
393,2735.099,http://parks.state.wa.us/536/Larrabee,-122.49313914,48.65184432,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1433,The north end of the beach within Wildcat Cove is CLOSED to recreational shellfish harvesting due to the State Park wastewater treatment closure zone.  The rest of the beach is unclassified.,2015/04/06 00:00:00+00,Closed,This beach is within the closure area for a sewage treatment plant outfall and is unsafe for recreational shellfish harvesting.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,210210,LARRABEE SP,Bellingham Bay,Whatcom,None,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,1084.10830340316
394,,,-122.7931,47.7771,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,140,None,2014/06/24 08:48:59+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,None,270810,SILENT BEACH,Dabob Bay,Jefferson,Dabob Bay,None,Open,2023/04/12 03:01:35+00,3196.64072083227
395,3819.27,,-122.57162091,47.59273893,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1281,Private property between public beach and the road. Beach is boat access only.,1998/07/27 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,DEPARTMENT OF FISH AND WILDLIFE,260350,POINT WHITE,Sinclair Inlet,Kitsap,Port Orchard Passage,None,Open,2023/04/12 03:01:35+00,774.551976695624
396,3941.229,https://www.thurstoncountywa.gov/pw/Pages/pw-parkstrails-FryeCovePark.aspx ,-122.96400723,47.11665147,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open May 1 through May 31 only.",,2023/05/01 00:00:00+00,2023/05/31 00:00:00+00,2023/05/01 00:00:00+00,2023/05/31 00:00:00+00,0,1187,None,1999/02/04 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,THURSTON COUNTY HEALTH DEPARTMENT,281140,FRYE COVE PARK,Eld Inlet,Thurston,Eld Inlet,None,Open,2023/04/12 03:01:35+00,1438.62758790911
397,7476.572,https://www.olympiawa.gov/services/parks___recreation/parks___trails/squaxin_park.php ,-122.89992381,47.07141942,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,1167,None,2014/06/24 08:48:59+00,Closed,This beach is within the closure area for a sewage treatment plant outfall and is unsafe for recreational shellfish harvesting.,None,281160,SQUAXIN PARK (PRIEST POINT PARK),Budd Inlet,Thurston,Budd Inlet,None,Closed,2023/04/12 03:01:35+00,3338.25928153484
398,1018.573,https://www.thurstoncountywa.gov/pw/Pages/pw-parkstrails-BurfootPark.aspx ,-122.90553536,47.13197689,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1166,None,2018/05/25 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,THURSTON COUNTY HEALTH DEPARTMENT,281150,BURFOOT COUNTY PARK,Budd Inlet,Thurston,Budd Inlet,None,Open,2023/04/12 03:01:35+00,506.608080595189
399,3356.867,http://parks.state.wa.us/297/Tolmie,-122.77582248,47.12100252,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1250,None,1999/03/17 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,280080,TOLMIE SP,Nisqually Reach,Thurston,Nisqually Reach,None,Open,2023/04/12 03:01:35+00,838.284974664931
400,3030.974,,-122.70878277,47.1409721,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,538,None,2014/06/24 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,None,280130,W ORO BAY,Nisqually Reach,Pierce,Oro Bay,None,Open,2023/04/12 03:01:35+00,846.815133341433
401,844.887,,-122.72614044,47.16024184,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,535,None,2008/08/01 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,280100,AMSTERDAM BAY,Drayton Passage,Pierce,Anderson Island,None,Open,2023/04/12 03:01:35+00,288.936051788228
402,2514.34,http://parks.state.wa.us/524/Joemma-Beach,-122.8086703,47.22392522,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,633,None,1998/04/29 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,280750,JOEMMA BEACH SP,Case Inlet,Pierce,West Key Peninsula,None,Open,2023/04/12 03:01:35+00,543.222838867185
403,1622.671,http://parks.state.wa.us/545/McMicken-Island,-122.86300952,47.24845469,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,514,None,2004/02/25 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,280830,MCMICKEN ISLAND SP,Case Inlet,Mason,Harstine East,None,Open,2023/04/12 03:01:35+00,1355.93018972307
404,3897.361,http://parks.state.wa.us/523/Jarrell-Cove,-122.88421702,47.28592413,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,516,Shellfish harvesting should be avoided from inside Jarrell Cove.  This area is inside a closure zone from the Jarrell Cove Marina.,2010/10/21 00:00:00+00,Open,This beach is divided by APPROVED and PROHIBITED commercial shellfish areas.  The beach's recreational shellfish harvest classification is OPEN within the APPROVED area and CLOSED within the PROHIBITED area.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,280851,JARRELL COVE STATE PARK EAST,Pickering Passage,Mason,Pickering Passage,None,Open,2023/04/12 03:01:35+00,1270.98806566729
405,8374.298,http://parks.state.wa.us/523/Jarrell-Cove,-122.88421702,47.28592413,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1413,Shellfish harvesting should be avoided from inside Jarrell Cove.  This area is inside a closure zone from the Jarrell Cove Marina.,2014/06/24 00:00:00+00,Closed,This beach is divided by APPROVED and PROHIBITED commercial shellfish areas.  The beach's recreational shellfish harvest classification is OPEN within the APPROVED area and CLOSED within the PROHIBITED area.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,280850,JARRELL COVE STATE PARK,Pickering Passage,Mason,Pickering Passage,None,Closed,2023/04/12 03:01:35+00,2241.7690337011
406,3897.361,,-122.8933001,47.28515381,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1273,None,2014/06/24 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,280860,DNR-34,Pickering Passage,Mason,Pickering Passage,None,Open,2023/04/12 03:01:35+00,1239.37256848704
407,1349.132,,-123.13883582,47.40656834,"<b>Clams & Mussels:</b>&nbsp;&nbsp;Closed year-round.","<b>Oysters:</b>&nbsp;&nbsp; Open April 1 through May 31, 2023 only.",2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2023/04/01 00:00:00+00,2023/05/31 00:00:00+00,1,1227,None,2021/02/16 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,DEPARTMENT OF FISH AND WILDLIFE,270420,WDFW HOODSPORT HATCHERY,Hood Canal #6,Mason,Hood Canal #6,None,Open,2023/04/12 03:01:35+00,162.080911215281
408,1439.34,,-123.06765301,47.45332491,"<b>Clams & Mussels:</b>&nbsp;&nbsp;Open July 1 through September 30 only.","<b>Oysters:</b>&nbsp;&nbsp;Open year-round.",2023/07/01 00:00:00+00,2023/09/30 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,524,None,2010/10/05 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,270380,DNR-44A (W DEWATTO),Hood Canal #5,Mason,Hood Canal #5,None,Open,2023/04/12 03:01:35+00,236.674827356555
409,1289.577,,-122.98407096,47.61142814,"<b>Clams & Mussels:</b>&nbsp;&nbsp;Open June 1 through August 31 only.","<b>Oysters:</b>&nbsp;&nbsp;Open year-round.",2023/06/01 00:00:00+00,2023/08/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1349,None,2011/03/21 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,None,270293,TRITON COVE TIDELANDS,Hood Canal #3,Jefferson,Hood Canal #4,None,Open,2023/04/12 03:01:35+00,201.635410754748
410,,,-122.949,47.628,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1216,None,2015/02/18 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,270290,N MCDANIEL COVE,Hood Canal #3,Jefferson,Hood Canal #4,None,Open,2023/04/12 03:01:35+00,1501.58891163535
411,8221.676,http://parks.state.wa.us/412/Dosewallips-State-Park,-122.89554057,47.68712128,"<b>Clams & Mussels:</b>&nbsp;&nbsp;<b>Open July 15 through September 30, 2023 only.</b>","<b>Oysters:</b>&nbsp;&nbsp;Open year-round.",2023/07/15 00:00:00+00,2023/09/30 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,166,None,1998/02/24 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,270200,DOSEWALLIPS SP,Hood Canal #3,Jefferson,Hood Canal #3,None,Open,2023/04/12 03:01:35+00,736.300531882291
412,3047.503,,-122.88991083,47.70878225,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,170,None,2004/02/25 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,None,270210,SEAL ROCK FS CAMPGROUND,Hood Canal #3,Jefferson,Hood Canal #3,None,Open,2023/04/12 03:01:35+00,1317.74965406885
413,566,http://parks.state.wa.us/817/Quilcene-Boat-Haven,-122.868,47.804,"<b>Clams & Mussels:</b>&nbsp;&nbsp;Open January 1 through May 31, 2023.",,2023/01/01 00:00:00+00,2023/05/31 00:00:00+00,2023/04/01 00:00:00+00,2023/05/31 00:00:00+00,1,1398,"South of this beach, Herb Beck Marina boat basin is closed to shellfish harvest. The area 200 yards north and 160 yards south of the mouth of the boat basin including the pocket beach just south of the marina is closed May-Sept. due to seasonal pollution.",2014/06/06 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,None,270111,QUILCENE BOAT RAMP,Quilcene Bay,Jefferson,Quilcene Bay,None,Open,2023/04/12 03:01:35+00,76.3760473056276
414,,,-122.607687,47.887107,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1192,None,1998/06/02 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,250480,POINT HANON,North Hood,Jefferson,Hood Canal #1,None,Open,2023/04/12 03:01:35+00,2956.50596003033
415,2100.222,,-122.58067416,47.25564601,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,571,None,1998/06/02 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,Department of Natural Resources,280310,DNR-1,Narrows,Pierce,Tacoma Narrows,None,Unclassified,2023/04/12 03:01:35+00,814.275139213141
416,9492.273,https://www.everettwa.gov/facilities/facility/details/Howarth-Park-46,-122.26738654,47.95730463,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,1253,None,1998/06/02 00:00:00+00,Closed,This beach is located in a densely populated urban area.  Large sewage treatment outfalls and urban stormwater runoff are sources of contamination concern.,Department of Natural Resources,260060,HOWARTH PARK - DARLINGTON BEACH,Possession Sound,Snohomish,None,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,4366.79850208772
417,3315.475,https://snohomishcountywa.gov/Facilities/Facility/Details/Kayak-Point-Regional-County-Park-51,-122.36586999,48.13391101,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,1299,None,1998/04/17 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,SNOHOMISH COUNTY HEALTH DEPARTMENT,240580,KAYAK POINT CP,Port Susan,Snohomish,Possession Sound,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,1584.42121745231
418,281,https://www.portofbellingham.com/505/Marine-Park---Fairhaven,-122.5164,48.71959,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,1159,None,2014/06/24 00:00:00+00,Closed,This beach is within the closure area for a sewage treatment plant outfall and is unsafe for recreational shellfish harvesting.,Port of Bellingham,210019,POST POINT,Bellingham Bay,Whatcom,None,Varnish Clams,Closed,2023/04/12 03:01:35+00,754.405529292481
419,5210.639,,-122.67543327,48.71158067,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1154,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,Department of Natural Resources,210130,DNR-223,Lummi Bay,Whatcom,None,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,1427.9352344504
420,3425.359,,-122.68759422,48.70597057,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1133,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,200530,DNR-283,None,Whatcom,Lummi Island,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,810.66896805452
421,1392.493,,-122.75922407,48.12686581,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,202,None,2015/04/20 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,250190,SOUTH POINT WILSON,Admiralty Inlet,Jefferson,Port Townsend,None,Open,2023/04/12 03:01:35+00,1471.13666567314
422,8794.619,,-122.67391522,47.53106501,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,1340,None,1999/02/04 00:00:00+00,Closed,This beach resides within an area of known contamination.  Commercial harvest is PROHIBITED.  Recreational harvest is CLOSED.  Shellfish are unsafe for human consumption.,Department of Natural Resources,260578,ROSS POINT,Sinclair Inlet,Kitsap,None,None,Closed,2023/04/12 03:01:35+00,899.878621446776
423,16109.757,http://parks.state.wa.us/431/Twin-Harbors-State-Park,-124.10554568,46.82686015,<a href='https://wdfw.wa.gov/fishing/shellfishing-regulations/razor-clams'>Check razor clam seasons:</a>,,2023/11/01 00:00:00+00,2023/05/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,1371,None,2014/06/24 08:48:59+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,None,600100,TWIN HARBORS,Pacific County Coast,Pacific,None,All Species excluding Razor Clams,Closed,2023/04/12 03:01:35+00,6771.10334821451
424,3713,https://www.kitsapgov.com/parks/Pages/PortGambleHeritagePark.aspx ,-122.5858,47.8359,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open August 1 through September 30, 2023 only.",,2023/08/01 00:00:00+00,2023/09/30 00:00:00+00,2023/08/01 00:00:00+00,2023/09/30 00:00:00+00,0,1434,Harvesters are cautioned not to park on the road shoulder and to be extremely careful when walking along the shoulder of SR 104 between access points. See WDFW link for details.,2015/12/21 00:00:00+00,Conditionally Open,None,Kitsap County Parks and Recreation,250900,PORT GAMBLE HERITAGE PARK,Port Gamble,Kitsap,Port Gamble,None,Conditionally Open,2023/04/12 03:01:35+00,3713.59489795265
425,23766.842,https://www.parks.wa.gov/479/Bottle-Beach,-124.04996016,46.88577411,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round, except razor clams.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1363,Harvesters should avoid the northeast portion of this long beach due to bacteria loading from Redman Slough. The southern portion of the beach is classified as Open.,2014/06/24 00:00:00+00,Closed,This beach is divided by APPROVED and PROHIBITED commercial shellfish areas.  The beach's recreational shellfish harvest classification is OPEN within the APPROVED area and CLOSED within the PROHIBITED area.,None,990019,BOTTLE BEACH (OCOSTA),Grays Harbor,Grays Harbor,Grays Harbor,None,Closed,2023/04/12 03:01:35+00,4810.04401668209
426,23766.842,https://www.parks.wa.gov/479/Bottle-Beach,-124.04996016,46.88577411,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round, except razor clams.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1438,Harvesters should avoid the northeast portion of this long beach due to bacteria loading from Redman Slough. The southern portion of the beach is classified as Open.,2016/02/02 00:00:00+00,Open,This beach is divided by APPROVED and PROHIBITED commercial shellfish areas.  The beach's recreational shellfish harvest classification is OPEN within the APPROVED area and CLOSED within the PROHIBITED area.,None,990019,BOTTLE BEACH (OCOSTA),Grays Harbor,Grays Harbor,Grays Harbor,None,Open,2023/04/12 03:01:35+00,5491.05204986005
427,990.345,https://www.kitsapgov.com/parks/Pages/AnnaSmithPark.aspx ,-122.6726515,47.63482871,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,420,None,2001/10/18 00:00:00+00,Conditionally Open,This beach is in an area that is approved for shellfish harvesting as long as the nearby municipal sewage treatment plant is functioning properly.,None,260517,ANNA SMITH CHILDRENS PARK,Dyes Inlet,Kitsap,Dyes Inlet,None,Conditionally Open,2023/04/12 03:01:35+00,285.930196579572
428,1800,,-122.45474363,47.34357912,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,246,None,2018/08/09 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,260690,PINER PT,East Passage,King,East Passage,None,Open,2023/04/12 03:01:35+00,319.028539765495
429,200,,-122.43987623,47.44932884,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1384,None,2018/08/09 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,None,260654,HITCHINGS PROPERTY,East Passage,King,East Passage,None,Open,2023/04/12 03:01:35+00,273.462965612152
430,300,,-122.44030737,47.43758972,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,241,None,2016/02/08 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,Department of Natural Resources,260660,N PT HEYER,East Passage,King,East Passage,None,Unclassified,2023/04/12 03:01:35+00,881.132146150694
431,400,,-122.47418805,47.348541,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1392,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,260693,MANZANITA NATURAL AREA,East Passage,King,Quartermaster Harbor,None,Unclassified,2023/04/12 03:01:35+00,182.762614288364
432,200,,-122.48808856,47.36611898,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1394,None,2016/02/08 00:00:00+00,Closed,Shoreline survey information does not meet Washington State standards for recreational shellfish harvesting.,None,260681,INSPIRATION POINT NATURAL AREA,Quartermaster Harbor,King,Quartermaster Harbor,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,212.973579712368
433,550,http://vashonparks.org/point-robinson,-122.37629414,47.3900038,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1390,None,2018/08/09 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,260850,POINT ROBINSON PARK,East Passage,King,East Passage,None,Open,2023/04/12 03:01:35+00,1391.01597899114
434,400,http://vashonparks.org/fern-cove,-122.48224149,47.48079517,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1389,None,2018/08/09 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,None,260642,FERN COVE,Colvos Passage,King,Colvos Passage,None,Open,2023/04/12 03:01:35+00,338.842918639502
435,794.268,,-122.46914772,47.51040571,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,237,None,2001/10/22 00:00:00+00,Closed,Shoreline survey information does not meet Washington State standards for recreational shellfish harvesting.,Department of Natural Resources,260640,SOUTHWORTH FERRY DOCK,East Passage,King,East Passage,None,Closed,2023/04/12 03:01:35+00,392.127671753239
